ID;Nomo;Loka nomo;ISO-kodo;
7;Sirio;Syrien;SY;
8;Au^strio;Östereich;AT;
9;C^inio;China;CN;
10;Belgio;Belgien;BE;
11;Benino;Benin;BJ;
12;Britio;Großbritannien;GB;
13;Danlando;Dänemark;DK;
14;Finnlando;Finnland;FI;
15;Francio;Frankreich;FR;
16;Germanio;Deutschland;DE;
17;Hispanio;Spanien;ES;
18;Hungario;Ungarn;HU;
19;Irlando;Irland;IE;
20;Irano;Iran;IR;
21;Italio;Italien;IT;
22;Jugoslavio;Jugoslawien;YU;
23;Kanado;Kanada;CA;
24;Lih^tens^tejno;Liechtenstein;LI;
25;Luksemburgio;Luxemburg;LU;
26;Litovio;Litauen;LT;
27;Meksiko;Mexiko;MX;
28;Monako;Monako;MC;
29;Nederlando;Niederlande;NL;
30;Norvegio;Norwegen;NO;
31;Pollando;Polen;PL;
32;Portugalio;Portugal;PT;
33;Rusio;Russland;RU;
34;San Marino;San Marino;SM;
35;Slovakio;Slowakei;SK;
36;Svedio;Schweden;SE;
37;Svislando;Schweiz;CH;
38;Urugvajo;Uruguay;UY;
39;Usono;USA;US;
40;Vatikano;Vatikan;VA;
41;Andoro;Andorra;AD;
42;C^eh^io;Tschechien;CZ;
43;Grekio;Griechenland;GR;
44;Kroatio;Kroatien;HR;
45;Malto;Malta;MT;
46;Slovenio;Slovenien;SI;
47;Alia Lando;Anderes Land;;
48;Kongo;Kongo;CD;
49;Ghanao;Ghana;GH;
50;Kasah^stano;Kasachstan;KZ;
51;Pakistanio;Pakistan;PK;
52;Romanio;Rumänien;RO;
55;Ukrainio;Ukraine;UA;
56;Nig^erio;Nigeria;NG;
57;Nepalo;Nepal;NP;
58;Hindujo;Indien;IN;
59;Brazilo;Brasilien;BR;
60;Angolo;Angola;AO;
61;Ebur-Bordo;Elfenbeinküste;CI;
62;Israelo;Israel;IS;
63;Japanio;Japan;JP;
64;Suda Koreio;Südkorea;KR;
65;Makedonio;Mazedonien;MK;
66;Togo;Togo;TG;
67;Argentinio;Argentinien;AR;
69;Bosnio;Bosnien;BA;
70;Bulgario;Bulgarien;BG;
72;Latvio;Lettland;LV;
74;Senegalo;Senegal;SN;
75;Moldavujo;Moldawien;MD;
76;Malio;Mali;ML;
77;Katalunio;Katalonien;;
78;Alg^erio;Algerien;DZ;
79;Serbio;Serbien;RS;
80;Montenegro;Montenegro;ME;
82;Kubo;Kuba;CU;
